Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,332.5,339.0,332.5,339.0,307.79669189453125,31754120
2020-01-03,344.0,345.0,335.5,339.5,308.2506408691406,41811268
2020-01-06,333.0,334.5,332.0,332.0,301.4410095214844,45343057
2020-01-07,332.5,333.0,326.5,329.5,299.17108154296875,50879181
2020-01-08,325.0,333.0,325.0,329.5,299.17108154296875,37567748
2020-01-09,335.0,337.5,333.5,337.5,306.4347839355469,31481504
2020-01-10,340.5,341.0,336.0,339.5,308.2506408691406,27032115
2020-01-13,342.0,342.0,339.0,341.5,310.0665283203125,30663332
2020-01-14,345.5,346.0,344.5,346.0,314.1522521972656,30223993
2020-01-15,345.0,345.0,337.5,340.0,308.70458984375,47434274
2020-01-16,330.0,336.5,330.0,334.5,303.71087646484375,55211420
2020-01-17,334.0,335.5,332.0,333.0,302.3489074707031,52060097
2020-01-20,334.0,335.5,333.0,333.0,302.3489074707031,32658203
2020-01-30,326.0,326.0,316.5,316.5,287.3677062988281,125451049
2020-01-31,323.0,323.5,319.0,320.0,290.5455322265625,62526055
2020-02-03,315.0,316.5,312.0,315.0,286.0057067871094,59560849
2020-02-04,336.5,337.0,325.0,325.0,295.0852966308594,51890496
2020-02-05,329.0,329.5,324.5,327.5,297.355224609375,36601453
2020-02-06,329.5,332.5,329.0,332.5,301.89495849609375,29267094
2020-02-07,330.0,330.5,326.0,328.0,297.8091735839844,28798327
2020-02-10,321.5,328.0,321.0,327.5,297.355224609375,30632424
2020-02-11,330.5,332.5,330.0,331.5,300.9869384765625,27524935
2020-02-12,333.5,336.0,333.0,335.0,304.1648864746094,37612639
2020-02-13,338.0,338.0,335.0,335.0,304.1648864746094,22757021
2020-02-14,337.0,337.0,334.5,335.0,304.1648864746094,16933683
2020-02-17,331.5,333.0,330.5,331.5,300.9869384765625,15937079
2020-02-18,324.5,326.5,322.0,322.0,292.3614807128906,61825604
2020-02-19,322.5,327.0,322.0,326.5,296.4472351074219,38781218
2020-02-20,328.0,329.0,325.0,325.5,295.5392761230469,27011736
2020-02-21,325.5,326.5,323.0,325.0,295.0852966308594,22813534
2020-02-24,319.5,321.5,319.5,320.0,290.5455322265625,41693680
2020-02-25,320.0,323.5,317.5,322.0,292.3614807128906,36195011
2020-02-26,317.0,320.5,316.5,318.5,289.1835632324219,60479362
2020-02-27,319.0,320.0,315.0,316.0,286.9136962890625,61250927
2020-03-02,308.0,317.0,308.0,311.0,282.37396240234375,79912942
2020-03-03,318.5,320.0,316.0,317.5,288.275634765625,49679411
2020-03-04,322.0,322.0,317.0,320.5,290.99951171875,42941146
2020-03-05,325.0,326.0,323.0,323.0,293.26934814453125,37861525
2020-03-06,320.0,320.5,315.0,315.0,286.0057067871094,51546760
2020-03-09,307.5,310.0,305.5,305.5,277.3802185058594,87871277
2020-03-10,301.5,309.0,301.0,307.0,278.7420959472656,71950130
2020-03-11,309.0,310.5,302.0,302.0,274.2022705078125,62216710
2020-03-12,299.0,299.0,287.0,294.0,266.938720703125,113527351
2020-03-13,275.0,294.0,272.5,290.0,263.30694580078125,149995148
2020-03-16,285.0,291.0,275.5,276.5,251.04940795898438,103873228
2020-03-17,265.0,276.5,265.0,268.0,243.33189392089844,121323651
2020-03-18,269.5,272.5,260.0,260.0,236.06822204589844,117437643
2020-03-19,252.0,253.0,235.5,248.0,227.35885620117188,160811697
2020-03-20,258.5,270.0,256.0,270.0,247.52784729003906,157664726
2020-03-23,257.0,262.5,252.0,255.0,233.77630615234375,76466709
2020-03-24,268.0,274.0,266.0,267.5,245.23593139648438,81952933
2020-03-25,276.5,280.0,274.0,277.0,253.94522094726562,79447199
2020-03-26,279.5,280.0,275.5,280.0,256.695556640625,52845633
2020-03-27,284.0,286.0,273.0,273.0,250.27816772460938,68752306
2020-03-30,263.5,269.0,262.5,267.5,245.23593139648438,49159956
2020-03-31,273.0,274.0,269.5,274.0,251.19497680664062,48837923
2020-04-01,276.5,276.5,271.5,271.5,248.90296936035156,44515034
2020-04-06,273.0,275.5,270.0,275.5,252.57009887695312,56392754
2020-04-07,283.5,284.0,280.5,283.0,259.4458923339844,48787346
2020-04-08,285.0,285.5,283.0,285.0,261.2793884277344,37912826
2020-04-09,287.5,288.0,282.5,283.0,259.4458923339844,27620430
2020-04-10,280.0,282.0,279.0,279.5,256.2371826171875,27252858
2020-04-13,278.5,281.5,278.5,278.5,255.3204345703125,22196596
2020-04-14,281.0,285.5,280.0,285.0,261.2793884277344,48809688
2020-04-15,287.0,288.5,286.0,287.5,263.5712890625,55216434
2020-04-16,283.0,288.5,283.0,286.5,262.654541015625,47815280
2020-04-17,303.5,308.5,300.5,306.5,280.9899597167969,116368201
2020-04-20,308.0,309.0,302.5,304.0,278.697998046875,41381669
2020-04-21,300.5,301.5,293.5,295.0,270.4471435546875,61479357
2020-04-22,294.5,295.0,290.5,294.0,269.5303649902344,42192580
2020-04-23,300.0,300.0,294.0,295.5,270.9055480957031,39474478
